eps_e,s_e,fitness,n_ghosts,n_sub_electron
524.2571,1.9780,1.0000,8,1
536.9313,1.9780,1.0000,8,1
549.9118,1.9780,1.0000,8,0
563.2061,1.9780,1.0000,8,0
576.8218,1.9780,1.0000,8,0
590.7667,1.9780,1.0000,8,0
605.0487,1.9780,1.0000,8,0
619.6760,1.9780,1.0000,8,1
634.6569,1.9780,1.0000,8,0
650.0000,1.9780,1.0000,8,1
250.0000,1.9800,1.0000,7,0
256.0438,1.9800,1.0000,7,1
262.2338,1.9800,1.0000,7,0
268.5734,1.9800,1.0000,7,1
275.0663,1.9800,1.0000,7,1
281.7161,1.9800,1.0000,7,0
288.5267,1.9800,1.0000,7,1
295.5019,1.9800,1.0000,7,1
302.6458,1.9800,1.0000,7,0
309.9624,1.9800,1.0000,7,1
317.4559,1.9800,1.0000,7,1
325.1305,1.9800,1.0000,7,1
332.9906,1.9800,1.0000,7,1
341.0408,1.9800,1.0000,7,1
349.2856,1.9800,1.0000,7,1
357.7297,1.9800,1.0000,7,0
366.3780,1.9800,1.0000,7,1
375.2353,1.9800,1.0000,7,1
384.3068,1.9800,1.0000,7,0
393.5975,1.9800,1.0000,7,1
403.1129,1.9800,1.0000,7,1
412.8583,1.9800,1.0000,7,1
422.8393,1.9800,1.0000,7,0
433.0616,1.9800,1.0000,7,1
443.5310,1.9800,1.0000,7,1
454.2536,1.9800,1.0000,7,1
465.2353,1.9800,1.0000,7,1
476.4826,1.9800,1.0000,7,0
488.0017,1.9800,1.0000,7,0
499.7993,1.9800,1.0000,7,0
511.8822,1.9800,1.0000,7,1
524.2571,1.9800,1.0000,7,1
536.9313,1.9800,1.0000,7,0
549.9118,1.9800,1.0000,7,0
563.2061,1.9800,1.0000,7,1
576.8218,1.9800,1.0000,7,1
590.7667,1.9800,1.0000,7,0
605.0487,1.9800,1.0000,7,0
619.6760,1.9800,1.0000,7,0
634.6569,1.9800,1.0000,7,0
650.0000,1.9800,1.0000,7,0
250.0000,1.9820,1.0000,7,0
256.0438,1.9820,1.0000,7,0
262.2338,1.9820,1.0000,7,0
268.5734,1.9820,1.0000,7,0
275.0663,1.9820,1.0000,7,0
281.7161,1.9820,1.0000,7,1
288.5267,1.9820,1.0000,7,0
295.5019,1.9820,1.0000,7,1
302.6458,1.9820,1.0000,7,1
309.9624,1.9820,1.0000,7,0
317.4559,1.9820,1.0000,7,0
325.1305,1.9820,1.0000,7,1
332.9906,1.9820,1.0000,7,0
341.0408,1.9820,1.0000,7,1
349.2856,1.9820,1.0000,7,0
357.7297,1.9820,1.0000,7,1
366.3780,1.9820,1.0000,7,0
375.2353,1.9820,1.0000,7,0
384.3068,1.9820,1.0000,7,1
393.5975,1.9820,1.0000,7,0
403.1129,1.9820,1.0000,7,0
412.8583,1.9820,1.0000,7,1
422.8393,1.9820,1.0000,7,0
433.0616,1.9820,1.0000,7,0
443.5310,1.9820,1.0000,7,1
454.2536,1.9820,1.0000,7,1
465.2353,1.9820,1.0000,7,1
476.4826,1.9820,1.0000,7,1
488.0017,1.9820,1.0000,7,0
499.7993,1.9820,1.0000,7,0
511.8822,1.9820,1.0000,7,0
524.2571,1.9820,1.0000,7,1
536.9313,1.9820,1.0000,7,0
549.9118,1.9820,1.0000,7,0
563.2061,1.9820,1.0000,7,1
576.8218,1.9820,1.0000,7,1
590.7667,1.9820,1.0000,7,1
605.0487,1.9820,1.0000,7,1
619.6760,1.9820,1.0000,7,0
634.6569,1.9820,1.0000,7,0
650.0000,1.9820,1.0000,7,0
250.0000,1.9840,1.0000,6,0
256.0438,1.9840,1.0000,6,1
262.2338,1.9840,1.0000,6,1
268.5734,1.9840,1.0000,6,1
275.0663,1.9840,1.0000,6,0
281.7161,1.9840,1.0000,6,1
288.5267,1.9840,1.0000,6,0
295.5019,1.9840,1.0000,6,1
302.6458,1.9840,1.0000,6,0
309.9624,1.9840,1.0000,6,1
317.4559,1.9840,1.0000,6,0
325.1305,1.9840,1.0000,6,1
332.9906,1.9840,1.0000,6,1
341.0408,1.9840,1.0000,6,0
349.2856,1.9840,1.0000,6,1
357.7297,1.9840,1.0000,6,1
366.3780,1.9840,1.0000,6,0
375.2353,1.9840,1.0000,6,1
384.3068,1.9840,1.0000,6,0
393.5975,1.9840,1.0000,6,1
403.1129,1.9840,1.0000,6,0
