rank,eps_e,s_e,fitness,mode,primitive,k,mass_MeV,category
2,357.7297,1.9960,2.671,"(-2,-11)","(-2,-11)",1,733.830,dark-massive
2,357.7297,1.9960,2.671,"(-3,-13)","(-3,-13)",1,734.249,dark-massive
2,357.7297,1.9960,2.671,"(-4,-15)","(-4,-15)",1,734.668,dark-massive
2,357.7297,1.9960,2.671,"(-4,+0)","(-1,+0)",4,836.030,tube-only
2,357.7297,1.9960,2.671,"(-3,+2)","(-3,+2)",1,836.449,dark-massive
2,357.7297,1.9960,2.671,"(+0,-8)","(+0,-1)",8,837.705,ring-only
2,357.7297,1.9960,2.671,"(-3,-14)","(-3,-14)",1,838.962,dark-massive
2,357.7297,1.9960,2.671,"(-4,+1)","(-4,+1)",1,940.743,dark-massive
2,357.7297,1.9960,2.671,"(-2,+5)","(-2,+5)",1,941.581,dark-massive
2,357.7297,1.9960,2.671,"(+0,-9)","(+0,-1)",9,942.418,ring-only
2,357.7297,1.9960,2.671,"(-2,-13)","(-2,-13)",1,943.256,dark-massive
2,357.7297,1.9960,2.671,"(-4,-17)","(-4,-17)",1,944.094,dark-massive
2,357.7297,1.9960,2.671,"(-4,+2)","(-2,+1)",2,1045.456,dark-massive
2,357.7297,1.9960,2.671,"(-3,+4)","(-3,+4)",1,1045.875,dark-massive
2,357.7297,1.9960,2.671,"(+0,-10)","(+0,-1)",10,1047.131,ring-only
2,357.7297,1.9960,2.671,"(-3,-16)","(-3,-16)",1,1048.388,dark-massive
2,357.7297,1.9960,2.671,"(-4,-18)","(-2,-9)",2,1048.807,dark-massive
2,357.7297,1.9960,2.671,"(-4,+3)","(-4,+3)",1,1150.170,dark-massive
2,357.7297,1.9960,2.671,"(-3,+5)","(-3,+5)",1,1150.588,dark-massive
2,357.7297,1.9960,2.671,"(-2,+7)","(-2,+7)",1,1151.007,dark-massive
2,357.7297,1.9960,2.671,"(+0,-11)","(+0,-1)",11,1151.844,ring-only
