name,Z,A,m_obs,m_Ma,E_Coul,E_Surf,m_total,B_obs,B_pred,ratio,B_per_A_obs,B_per_A_pred,rel_err
103Rh,45,103,95832.8695408431,94755.2418179328,299.9009195678744,402.98679405470614,95458.12953155539,884.1688165169035,1258.9088258046104,1.4238330987106722,8.584163267154402,12.22241578451078,0.42383309871067215
108Pd,46,108,100488.33326076344,99357.05716684103,308.61766117174915,415.92513699129546,100081.59996500408,925.2388668365602,1331.972162595921,1.4395981517183807,8.567026544782964,12.333075579591862,0.4395981517183806
107Ag,47,107,99557.44669751162,98434.63082363721,323.3350453670939,413.3537193831205,99171.31958838743,915.2666772083612,1301.3937863325555,1.421873885217709,8.553894179517394,12.162558750771547,0.4218738852177092
114Cd,48,114,106075.78487752711,104877.8793530837,330.34101098952016,431.1905479824998,105639.41091205571,972.5931084728945,1408.9670739442954,1.4486706328369612,8.531518495376268,12.359360297756977,0.44867063283696124
115In,49,115,107007.24575363718,105796.83384589505,343.39691244288014,433.70845791012636,106573.93921624805,979.4043205228081,1412.7108579119376,1.4424184458955924,8.516559308893983,12.284442242712501,0.4424184458955925
120Sn,50,120,111662.64373801871,110398.71586907779,352.6663457099977,446.1903383952646,111197.57255318304,1020.5401063812897,1485.6112912169629,1.4557108357894515,8.504500886510748,12.38009409347469,0.45571083578945143
130Te,52,130,120980.30841388383,119602.64610877392,371.692745070586,470.6465717063342,120444.98542555084,1095.942970996155,1631.2659593291464,1.488458799864751,8.430330546124269,12.54819968714728,0.4884587998647509
127I,53,127,118183.68420122462,116838.48992708784,389.28677949948616,463.37771677395955,117691.15442336128,1072.5775897353597,1565.107367598699,1.4592020032647361,8.445492832561888,12.323680059832276,0.4592020032647361
132Xe,54,132,122840.34860772801,121440.42407293014,399.0892237481853,475.46142261764487,122314.97471929598,1112.4469534719829,1637.8208419040166,1.4722687106943166,8.42762843539381,12.407733650788003,0.4722687106943166
133Cs,55,133,123772.53973795463,122359.33656877124,413.1086142052367,477.8597211275654,123250.30490410404,1118.5279114053556,1640.7627452559536,1.466894771713336,8.409984296280868,12.336561994405667,0.4668947717133361
138Ba,56,138,128429.3083320734,126961.29270192338,423.17113511521376,489.76234190863204,127874.22617894722,1158.2930875265884,1713.3752406527638,1.479224264656102,8.393428170482524,12.415762613425825,0.4792242646561021
139La,57,139,129361.33144870875,127880.19346972297,437.50494353658576,492.125495234599,128809.82390849416,1164.5420590512513,1716.0495992658398,1.4735831874238188,8.378000424829146,12.34568057025784,0.4735831874238187
