sigma_pS_tube,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_R64 proton,alpha_ratio_R64 neutron,alpha_ratio_R64 deuteron,alpha_ratio_R64 pp,alpha_ratio_R64 nn,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
-0.1875,0,0.4394849398755391,0.4394849398755391,2.5096340011875444,2.5879315450545373,10.194529740040062,10.038536004750178,10.351726180218149,1.7579397595021564,7.031759038008626,3.979787326288096,3.979787326288096
-0.185,0,0.4329430632803183,0.432943063280318,2.7275641697184643,2.810372795968242,11.075254779153614,10.910256678873857,11.241491183872968,1.7317722531212725,6.927089012485093,3.9210849662583773,3.9210849662583773
-0.1825,0,0.42597756361571987,0.42597756361571987,2.971515164359763,3.0592728582298108,12.060937503371658,11.886060657439051,12.237091432919243,1.7039102544628795,6.815641017851518,3.858576819042765,3.858576819042765
-0.18,0,0.41854880836654007,0.41854880836653985,3.2455593866842576,3.3387651732113044,13.167989389715029,12.98223754673703,13.355060692845218,1.67419523346616,6.69678093386464,3.791906213708243,3.791906213708243
-0.1775,0,0.41061229301256824,0.41061229301256796,3.554575027871802,3.6538002134932652,14.416067519956274,14.218300111487208,14.615200853973061,1.6424491720502725,6.56979668820109,3.720672519106641,3.720672519106641
-0.175,0,0.40211791179972906,0.40211791179972883,3.9044422066952977,4.010344228616794,15.828864339803125,15.617768826781191,16.041376914467175,1.608471647198916,6.433886588795664,3.6444245356033385,3.6444245356033385
-0.1725,0,0.393009106480788,0.39300910648078796,4.302296629929364,4.415636252198335,17.435128983358148,17.209186519717456,17.66254500879334,1.5720364259231518,6.288145703692608,3.5626527716713228,3.5626527716713228
-0.16999999999999998,0,0.3832218738263956,0.3832218738263954,4.756860780029763,4.878523625697433,19.270000682368153,19.027443120119052,19.51409450278973,1.532887495305582,6.131549981222328,3.474780425782574,3.474780425782574
-0.16749999999999998,0,0.3726836120862988,0.3726836120862986,5.278880784580209,5.409904543775281,21.376767578069135,21.115523138320835,21.639618175101123,1.490734448345195,5.96293779338078,3.380152885397728,3.380152885397728
-0.16499999999999998,0,0.36131178834408434,0.36131178834408406,5.881709124207561,6.023318274903478,23.809212554846134,23.526836496830246,24.093273099613914,1.4452471533763371,5.7809886135053485,3.278025566141166,3.278025566141166
