config,sigma_t,r_fm,E_strong_MeV,E_coulomb_MeV,E_total_MeV
pp (two protons),-116.1,0.2930335140935484,220.38839502802216,4.91399269419831,225.30238772222046
pp (two protons),-116.1,0.29694888866308733,211.99108119078778,4.849199988233367,216.84028117902116
pp (two protons),-116.1,0.30091657860708854,203.81985939373203,4.785261596673736,208.60512099040577
pp (two protons),-116.1,0.30493728293872596,195.87005530975762,4.7221662550862975,200.59222156484392
pp (two protons),-116.1,0.30901171001105554,188.13705038153307,4.659902847563403,192.7969532290965
pp (two protons),-116.1,0.3131405776418098,180.61628247049816,4.598460404764527,185.2147428752627
pp (two protons),-116.1,0.31732461323986116,173.3032464702644,4.5378281019837114,177.84107457224812
pp (two protons),-116.1,0.3215645539333734,166.19349488280477,4.477995257242525,170.6714901400473
pp (two protons),-116.1,0.32586114669966687,159.28263835600046,4.4189513294081415,163.7015896854086
pp (two protons),-116.1,0.3302151484968175,152.56634618129215,4.360685916336247,156.9270320976284
pp (two protons),-116.1,0.3346273263970157,146.04034675035837,4.30318875303842,150.3435355033968
pp (two protons),-116.1,0.3390984577217058,139.7004279699197,4.246449709873692,143.9468776797934
pp (two protons),-116.1,0.34362933017853203,133.54243763393038,4.190458790763941,137.73289642469433
pp (two protons),-116.1,0.34822074200011366,127.56228375258979,4.135206131432815,131.69748988402262
pp (two protons),-116.1,0.35287350208467516,121.75593483777402,4.080681997667884,125.8366168354419
pp (two protons),-116.1,0.3575884301385544,116.11942014463125,4.026876783605703,120.14629692823695
pp (two protons),-116.1,0.3623663568206161,110.64882986924636,3.97378101003948,114.62261087928583
pp (two protons),-116.1,0.36720812388859386,105.34031530242328,3.9213853227490705,109.26170062517235
pp (two protons),-116.1,0.37211458434738803,100.1900889397698,3.8696804908529834,104.05976943062278
pp (two protons),-116.1,0.37708660259934546,95.194424548401,3.818657405182111,99.01308195358311
pp (two protons),-116.1,0.38212505459654594,90.34965719070374,3.7683070766749203,94.11796426737865
pp (two protons),-116.1,0.3872308279951251,85.65218320572194,3.7186206347937834,89.37080384051572
pp (two protons),-116.1,0.3924048223116578,81.09846014882851,3.6695893259622028,84.76804947479071
pp (two protons),-116.1,0.39764794908163215,76.68500669045034,3.6212045120226377,80.30621120247298
pp (two protons),-116.1,0.40296113202003997,72.40840247471647,3.573457668714665,75.98186014343113
pp (two protons),-116.1,0.4083453071841143,68.26528793896864,3.5263403841732033,71.79162832314185
pp (two protons),-116.1,0.41380142313823987,64.25236409516538,3.4798443574465456,67.73220845261193
pp (two protons),-116.1,0.41933044112106777,60.3663922742744,3.433961397033926,63.80035367130833
pp (two protons),-116.1,0.4249333352148637,56.60419383481121,3.388683419442368,59.99287725425358
pp (two protons),-116.1,0.43061109251711716,52.96264983673905,3.3440024477625703,56.30665228450162
pp (two protons),-116.1,0.43636471331444576,49.43870068198885,3.299910610263556,52.7386112922524
pp (two protons),-116.1,0.44219521125882116,46.02934572290383,3.256400139005868,49.285745861909696
pp (two protons),-116.1,0.44810361354615136,42.73164283994288,3.2134633684730343,45.945106208415915
pp (two protons),-116.1,0.45409096109724745,39.54270799000483,3.171092734221093,42.71380072422592
pp (two protons),-116.1,0.4601583087412105,36.459714726762286,3.129280771545906,39.58899549830819
pp (two protons),-116.1,0.466306725401266,33.47989369439756,3.088020114168066,36.56791380856563
pp (two protons),-116.1,0.4725372942830843,30.600532096153984,3.047303492935122,33.647835589089105
pp (two protons),-116.1,0.4788511130656148,27.818973139113268,3.0071237345409334,30.8260968736542
pp (two protons),-116.1,0.4852492940944714,25.132615456611802,2.9674737602619015,28.100089216873705
pp (two protons),-116.1,0.49173296457790183,22.538912509699685,2.9283465847098618,25.467259094409545
pp (two protons),-116.1,0.49830326678537445,20.03537196903949,2.88973531460143,22.92510728364092
pp (two protons),-116.1,0.5049613582488199,17.619555078628764,2.8516331475435615,20.471188226172327
pp (two protons),-116.1,0.5117084119665598,15.289076002704633,2.8140333708351393,18.103109373539773
pp (two protons),-116.1,0.5185456166099627,13.041601157180594,2.776929360284344,15.818530517464938
pp (two protons),-116.1,0.5254741767328582,10.87484852692819,2.740314579041639,13.61516310596983
pp (two protons),-116.1,0.532495312983753,8.786586970199323,2.7041825764481224,11.490769546647446
pp (two protons),-116.1,0.5396102623208778,6.774635511450015,2.66852698689908,9.443162498349094
pp (two protons),-116.1,0.5468202782301126,4.836862623795469,2.6333415287225126,7.470204152517981
pp (two protons),-116.1,0.5541266309458192,2.9711855022960663,2.598620003072456,5.569805505368523
pp (two protons),-116.1,0.5615306076746274,1.1755693292350315,2.5643562928368917,3.7399256220719233
pp (two protons),-116.1,0.569033512822211,-0.5519734674878691,2.53054436156005,1.9785708940721807
pp (two protons),-116.1,0.576636668223092,-2.213383961756108,2.497178252378938,0.2837942906228301
pp (two protons),-116.1,0.5843414133735175,-3.810557481381238,2.464252086973875,-1.3463053944073633
