config,sigma_aS,sigma_at,sigma_eff,r_fm,V_MeV
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,5.111433483440168,1.5873611561016787
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,5.2310993080562636,1.5158506840045902
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,5.353566677410725,1.4475780268664948
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,5.478901179593942,1.3823968300955585
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,5.607169938205458,1.3201673417609072
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,5.738441648302396,1.2607561156467
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,5.872786613189483,1.2040357275870974
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,6.010276782070382,1.1498845044870905
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,6.150985788580501,1.098186265475988
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,6.294988990221888,1.0488300746496861
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,6.442363508721374,1.0017100048914926
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,6.593188271333548,0.9567249122785597
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,6.747544053110693,0.9137782206053089
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,6.9055135201623274,0.8727777155693275
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,7.067181273927491,0.8336353481972765
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,7.232633896483537,0.7962670470924422
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,7.401959996915645,0.7605925391155779
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,7.575250258771913,0.7265351781202298
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,7.75259748862946,0.6940217813835261
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,7.934096665797492,0.6629824733925034
