sigma_pS_tube,sigma_aS,sigma_eff,config,r_fm,V_MeV
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.342207152716012,22.658252507590987
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.3656466567946104,21.88775395474545
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.3894954943731375,21.143252776582585
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.4137608138073605,20.4238826001731
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.438449888287663,19.728805274654405
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.4635701180190799,19.0572099933579
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.4891290324394095,18.40831244055903
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.515134292476053,17.78135396233324
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.5415936928422718,17.175600761003807
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.5685151643735469,16.59034311266555
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.595906776404731,16.024894607270653
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.6237767391887217,15.478591410759009
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.6521334063573703,14.950791548725874
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.6809852774253637,14.440874211114533
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.7103410003378405,13.948239077433072
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.7402093740624849,13.472305661988685
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.770599351226898,13.012512678652001
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.8015200408020247,12.568317424653515
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.8329807108324356,12.139195182935282
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.8649907912142971,11.724638642574519
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.8975598765218504,11.324157336811368
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.9306977288832496,10.937277098215873
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.9644142809066276,10.563539530539629
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),1.9987196386572506,10.202501496800323
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.0336240846866724,9.85373462316079
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.0691380811147893,9.516824818168061
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.105272272765707,9.19137180693042
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.1420374903583843,8.87698867981112
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.1794447537529855,8.573301455237015
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.2175052752539317,8.279948656215765
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.256230462970634,7.996580900176696
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.2956319242369094,7.72286050174921
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.3357214690901213,7.458461088104968
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.376511113811074,7.203067226498661
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.4180130845257204,6.956374063651538
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.460239820869776,6.718086976627319
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.5032039797173256,6.487921234860551
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.54691843897454,6.265601673006131
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.5913963014396586,6.050862374286908
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.636650898730358,5.843446364021247
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.6826957952797246,5.643105313025899
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.729544792402006,5.4495992505928825
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.777211932429355,5.262696286750952
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.825711502920828,5.082172343522416
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.87505804094488,4.907810894906106
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.9252663374366445,4.739402715312508
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),2.9763514416313175,4.576745636190253
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.0283286655749455,4.4196443105911385
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.081213588714002,4.267909985425376
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.1350220625651137,4.1213602811662895
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.1897702154663214,3.9798189787718457
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.245474457411331,3.8431158135949772
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.3021514849681757,3.711086276063952
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.359818286283781,3.5835714189158807
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.418492146175929,3.4604176707791794
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.4781906513141303,3.3414766559001237
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.538931695490988,3.226605019817498
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.6007334849856183,3.1156642608002585
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.663614544020716,3.0085205668553954
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.72759372031494,2.9050446581361484
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.79269019073225,2.805111634568675
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.858923467029903,2.708600828536646
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.9263134017068375,2.615395662453693
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),3.9948801939541703,2.525383511070231
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),4.064644395709628,2.438455568361178
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),4.135626917817708,2.354506718839275
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),4.207849036297403,2.273435413161451
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),4.281332398719393,2.195143547878388
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),4.356099030694608,2.1195363491958688
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),4.432171342476085,2.046522260619213
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),4.509572135676147,1.976012834348012
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),4.588324610100845,1.9079226263061173
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),4.66845237070379,1.8421690946779563
